t=10,T1,T2,T3,T4,T5,T6,T7,T8,T9
3.68,106.42446751162461,78.37912736618736,96.2991683797845,44.17481196190491,39.603376715181994,-38.03814567652529,-17.759560199106048,-40.538330444966824,-24.387431856818118
3.69,107.34965133473155,78.73102117863904,95.933854840175,44.27264912855812,39.653967365291805,-38.09793553755913,-17.092125930738927,-40.30229723241435,-24.902633085931864
3.7,108.29316717051205,79.12500148551976,95.5904812126242,44.36964776469442,39.704653629692345,-38.16086690356875,-16.414027144506587,-40.02786954874075,-25.393076621735435
3.71,109.25422846185772,79.56092521043897,95.26978382195976,44.465851024476066,39.75543700436471,-38.226996422484824,-15.726231501210536,-39.715530627879154,-25.85833209644158
3.72,110.23202825781358,80.03859994791141,94.97247277030216,44.56130333110464,39.806319043729395,-38.29637675981823,-15.029718114909686,-39.365808759645695,-26.2979990460036
3.73,111.22573990739147,80.5577836028174,94.69923080589379,44.656050340940595,39.85730135959888,-38.3690564907602,-14.325476548956491,-38.97927720142232,-26.711707723551978
3.74,112.23451814026566,81.11818488379978,94.450712608767,44.75013888389347,39.90838561906822,-38.4450800584814,-13.614505574106108,-38.556553293339505,-27.099119415978553
3.75,113.25750015859867,81.71946384763409,94.22754411465539,44.84361690303781,39.95957354236344,-38.52448773748974,-12.897811927951231,-38.098297531990234,-27.45992672249545
3.7600000000000002,114.2938066971581,82.36123225650483,94.03032168831962,44.93653339658008,40.01086690082885,-38.60731557757207,-12.176409057615958,-37.605212791720454,-27.793853979167704
3.77,115.34254292880715,83.04305381836208,93.85961135331601,45.02893836853132,40.0622675152393,-38.693595348081445,-11.45131602696877,-37.07804370662254,-28.100657680372123
3.7800000000000002,116.40279946305432,83.76444457642286,93.71594806610547,45.12088277386723,40.113777253881906,-38.783354491426785,-10.723556349196965,-36.51757590047024,-28.380126831307663
3.79,117.47365368963004,84.52487389868124,93.599835201328,45.212418443086406,40.16539802976243,-38.87661611630184,-9.994156557210598,-35.924634619808366,-28.63208300259071
3.8000000000000003,118.55417070492847,85.32376482771716,93.51174386692512,45.30359803137986,40.21713179883189,-38.973398953092044,-9.264145117461306,-35.3000840285308,-28.856380668106304
3.81,119.64340445242985,86.16049478428788,93.45211233203057,45.39447495508636,40.268980557678425,-39.07371733174768,-8.53455117553885,-34.64482614510671,-29.052907374501252
3.8200000000000003,120.74039892530885,87.03439639148944,93.42134550527781,45.48510332439121,40.32094634105594,-39.17758116830637,-7.806403258367499,-33.959799663490045,-29.22158384579878
3.83,121.84418923089932,87.9447581927363,93.41981446164277,45.57553788380949,40.37303121970341,-39.28499595147712,-7.080728122629353,-33.24597891911979,-29.362364087096488
3.84,122.9538027808078,88.89082551371487,93.44785597225327,45.66583394542505,40.42523729787882,-39.39596273482741,-6.358549484848819,-32.50437268967893,-29.475235446518745
3.85,124.06826047702305,89.87180136865375,93.50577208265813,45.75604732219076,40.477566710880346,-39.5104781346216,-5.6408867703102805,-31.736022966848232,-29.56021863462986
3.86,125.18657783236587,90.88684737804618,93.59382977550581,45.84623426471237,40.530021622678035,-39.6285343350521,-4.928753950416169,-30.942003753741595,-29.617367688000783
3.87,126.30776619492681,91.93508478869084,93.71226061914078,45.936451392097275,40.58260422331691,-39.75011909612346,-4.223158277085891,-30.123419737251155,-29.646769913160906
3.88,127.43083393746743,93.01559551962814,93.86126048083547,46.026755624592965,40.63531672637012,-39.87521576783186,-3.5250990703823524,-29.281404960263306,-29.64854578306313
3.89,128.5547875882716,94.12742320871627,94.04098930567852,46.11720411936369,40.68816136649474,-40.00380330977333,-2.835566581886527,-28.41712152355284,-29.62284879251617
3.9,129.67863308607915,95.26957439858288,94.25157089595503,46.207854199127105,40.74114039670726,-40.135856316009104,-2.155540740776244,-27.53175812622037,-29.569865274452237
3.91,130.80137696065378,96.4410197083901,94.493092758984,46.29876328482793,40.794256085796164,-40.27134504503271,-1.4859899914369052,-26.626528654332365,-29.489814177577173
3.92,131.92202747780303,97.64069502019578,94.76560600881098,46.389988830165244,40.84751071579017,-40.41023545471257,-0.8278701812932125,-25.702670777629095,-29.38294680647748
3.93,133.03959589648719,98.86750280149998,95.06912527875686,46.48158824963878,40.90090657916912,-40.552489243232934,-0.18212334610627526,-24.761444393184952,-29.249546516932984
3.94,134.1530976352638,100.12031339473158,95.4036287016013,46.57361885156733,40.95444597624855,-40.69806389435483,0.4503233982208674,-23.804130138859623,-29.08992837845772
3.95,135.26155341456314,101.39796632693277,95.76905793651709,46.66613777233017,41.00813121259759,-40.84691272727519,1.068558926627308,-22.832027905022432,-28.904438802180053
3.96,136.36399046906226,102.69927172629706,96.16531822438719,46.75920190648188,41.06196459628618,-40.99898495283084,1.6716892332286815,-21.846455235390884,-28.693455121182367
3.97,137.45944372471416,104.02301174522214,96.59227848863492,46.8528678387347,41.11594843519128,-41.15422573368282,2.2588385123556627,-20.848745741428413,-28.457385140804057
3.98,138.5469569591877,105.36794201685376,97.04977148767601,46.947191776714185,41.17008503431719,-41.31257625000312,2.829150207901682,-19.840247501861594,-28.19666664748723
3.99,139.6255839251062,106.73279311428631,97.53759401106771,47.042229485693376,41.224376693179664,-41.47397376884727,3.381788014246217,-18.822321479358397,-27.911766889799324
4.0,140.69438951003428,108.11627208921067,98.05550711382227,47.13803622108385,41.27882570309019,-41.63835171964717,3.915936899979294,-17.796339862720117,-27.60318201350706
4.01,141.7524508556801,109.51706400657999,98.60323639179194,47.23466666311859,41.33343434451318,-41.80563977292367,4.4308040806996365,-16.7636844326617,-27.27143647232855
4.0200000000000005,142.7988584753278,110.93383352524012,99.18047230461923,47.33217485147104,41.38820488440575,-41.975763924635075,4.925619975368038,-15.725744896371722,-26.917082396269635
4.03,143.83271734299592,112.36522648771637,99.78687053897153,47.43061412135082,41.4431395736027,-42.1486465841756,5.399639123741994,-14.683917230030787,-26.54069893243191
4.04,144.85314797357114,113.80987154284615,100.42205241430425,47.53003703996684,41.49824064420243,-42.32420666710006,5.852141082211913,-13.639602002934128,-26.142891550241643
4.05,145.85928748623186,115.26638179039902,101.08560532887269,47.630495343804576,41.55351030697218,-42.50235969198053,6.282431291581763,-12.594202694667384,-25.72429131555106
4.0600000000000005,146.8502906389647,116.73335643365871,101.77708324554617,47.73203987741792,41.6089507487998,-42.68301788082942,6.689841905495626,-11.549124021381433,-25.285554137839636
4.07,147.82533085754474,118.2093824707942,102.49600722221558,47.83472053238203,41.66456413013806,-42.86609026464207,7.073732599856122,-10.505770237762427,-24.827359978880438
4.08,148.78360122063899,119.69303637039515,103.24186597494528,47.93858618863966,41.720352582532044,-43.05148279103338,7.433491331161176,-9.46554347221245,-24.350412045553842
4.09,149.72431544449702,121.18288579314599,104.01411648733192,48.0436846557102,41.776318206126746,-43.2390984374034,7.768535080114532,-8.42984203000881,-23.85543594105717
4.1,150.646708812291,122.67749127722304,104.81218464507481,48.150062616972555,41.83246306728672,-43.42883732481536,8.07831053584622,-7.400058749599896,-23.343178810629446
4.11,151.55003913398755,124.17540802374937,105.63546593592176,48.25776557197931,41.88878919611861,-43.62059684099012,8.36229478817571,-6.377579273932941,-22.814408418750716
4.12,152.43358764977688,125.67518764204395,106.48332617216423,48.366837781915464,41.945298584109295,-43.81427176365001,8.619995960328177,-5.363780378132822,-22.269912223584477
4.13,153.29665987194684,127.17537984363905,107.3551022305087,48.47732221851118,42.001993181893155,-44.00975438338099,8.850953778974745,-4.360028363656795,-21.710496454905723
4.14,154.13858638326616,128.67453411619212,108.25010282013378,48.58926051534027,42.058874897103536,-44.206934628061404,9.05474009502385,-3.3676774882648894,-21.1369851801408
4.15,154.95872367967948,130.17120152579702,109.16760932878924,48.702692916320466,42.115945592091016,-44.40570019849629,9.230959421282265,-2.3880682846171033,-20.550219286198086
4.16,155.7564549529562,131.66393645897847,110.10687667580768,48.81765822761621,42.173207081771885,-44.60593670238815,9.379249412192742,-1.422525950567355,-19.951055473668344
4.17,156.5311909040139,133.15129845579676,111.06713422158623,48.934193767594536,42.23066113138308,-44.80752779637064,9.49928135458885,-0.47235866041248636,-19.34036519042023
4.18,157.2823704217951,134.63185389358063,112.04758667754423,49.05233532445794,42.288309454536375,-45.010355322472776,9.59076053304111,0.46114395193121127,-18.71903360681063
4.19,158.00946117021473,136.10417757730593,113.0474150254869,49.172117119097386,42.346153711473214,-45.21429944187443,9.65342650661115,1.3767121986526514,-18.087958611074335
4.2,158.7119603238264,137.5668545819963,114.0657775223406,49.29357175915021,42.40419550694956,-45.41923878514561,9.687053497777487,2.273097994673813,-17.44804968098682
4.21,159.38939516300243,139.01848193518538,115.10181070191379,49.41673020109698,42.462436388435336,-45.625050596249416,9.691450651332167,3.149076332117462,-16.800226802146295
4.22,160.04132364498153,140.45767030149636,116.15463040560023,49.54162171363537,42.52087784435437,-45.83161087902269,9.666462261838175,4.0034467443868476,-16.145419367551494
4.23,160.66733494074253,141.88304565591622,117.2233328398796,49.668273842914076,42.57952130238847,-46.03879454545368,9.611967960938728,4.835034745435038,-15.484565063573466
4.24,161.26704993531138,143.29325093980106,118.30699565737295,49.79671237977465,42.63836812785229,-46.24647556526942,9.527882863291303,5.6426932388850854,-14.818608745983807
4.25,161.84012168365751,144.68694769313646,119.40467906379632,49.92696132944221,42.697419622155415,-46.45452711679012,9.414157663082705,6.425303888629253,-14.148501306339629
4.26,162.38623583708235,146.06281766995522,120.51542694108261,50.05904288284695,42.7566770213229,-46.66282173850176,9.270778698027575,7.181778463105764,-13.475198532891815
4.2700000000000005,162.90511107056517,147.41956445436884,121.63826797005137,50.192977387892505,42.816141494513865,-46.87123148061401,9.097768014398643,7.9110601804796,-12.799659971605651
4.28,163.39649934978667,148.75591497669745,122.7722168327918,50.32878332961612,42.87581414286124,-47.07962805955169,8.895183257867231,8.612124905093758,-12.122847764708307
